Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
au,stretches for sciatica,sciatica,,,,,1300,47,0.31,0.12,28900000,Informational,"AI Overview, Site Links, Video, Image, Video Carousel, Related Searches, Discussions And Forums","0.54,0.41,0.36,0.41,0.54,0.36,0.54,0.66,0.41,0.36,0.30,1.00",20,,
au,how to relieve sciatica pain,sciatica,,,,,1000,62,0.31,0.49,0,Informational,"Image, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Video","0.84,0.25,0.68,0.31,0.46,0.31,0.84,0.84,0.52,0.25,0.52,1.00",90,,
au,immediate relief for sciatica pain,sciatica,,,,,1000,67,0.00,0.00,19700000,"Informational, Commercial","Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.44,0.36,0.44,0.36,0.36,0.36,0.36,0.36,0.27,0.13,0.01,0.36",20,,
au,sciatica pregnancy,sciatica,,,,,880,44,0.00,0.00,25100000,"Informational, Commercial","Image, People Also Ask, Related Searches, Discussions And Forums, Image Pack, Site Links, Video, Featured Snippet","0.76,0.76,0.45,0.45,0.45,0.67,1.00,0.67,0.67,0.76,0.76,0.76",20,,
au,sciatica symptoms,sciatica,,,,,4400,79,0.00,0.00,148,Informational,"Image Pack, Video, Image, Related Searches, AI Overview","0.66,0.66,0.66,0.66,0.54,0.44,0.54,0.54,0.54,0.44,0.35,0.35",75,,
au,sciatica stretches,sciatica,,,,,2900,52,0.00,0.00,28800000,Informational,"AI Overview, Video, Image, Video Carousel, Related Searches, Discussions And Forums","1.00,1.00,1.00,1.00,1.00,0.82,1.00,1.00,0.82,0.82,1.00,0.82",75,,
au,sciatica exercises,sciatica,,,,,2400,42,0.32,0.11,28200000,Informational,"AI Overview, Video, Image, Video Carousel, Related Searches, See Results About, Discussions And Forums","0.66,0.52,0.66,0.52,0.66,0.52,0.66,0.66,0.52,0.52,0.66,0.52",75,,
au,stretch exercise for sciatica pain,sciatica,,,,,1600,49,0.35,0.13,0,Informational,"Related Searches, AI Overview, Site Links, Video, Image, Video Carousel","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",20,,
au,sciatica stretch exercises,sciatica,,,,,1000,52,0.36,0.12,7100000,Informational,"Video, Image, Video Carousel, Related Searches, AI Overview, Image Pack, Site Links","0.44,0.13,0.36,0.24,0.52,0.24,0.03,0.16,0.36,0.27,0.27,1.00",20,,
au,what causes sciatica,sciatica,,,,,1000,64,0.00,0.00,20000000,Informational,"AI Overview, Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.62,0.62,0.62,0.81,0.55,0.55,0.62,0.55,0.55,0.81,0.45,0.62",90,,
au,how to ease sciatica,sciatica,,,,,880,57,0.31,0.55,12200000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video","0.84,0.68,0.46,0.16,0.52,0.46,0.16,0.84,0.05,0.05,0.84,1.00",90,,
au,sciatica pain relief,sciatica,,,,,720,65,0.00,0.00,20300000,Informational,"See Results About, Discussions And Forums, AI Overview, Video, Image, Video Carousel, People Also Ask, Related Searches","0.52,0.25,0.25,0.31,0.37,0.31,0.68,0.31,0.20,0.20,0.31,0.46",90,,
au,how to treat sciatica,sciatica,,,,,720,73,0.35,0.46,30800000,Informational,"Video Carousel, AI Overview, Image Pack, Video, Image, People Also Ask, Related Searches, Discussions And Forums, Adwords Bottom","0.31,0.31,0.31,0.37,0.25,0.37,0.37,0.31,0.37,0.37,0.37,0.37",90,,
au,exercises for sciatica pain,sciatica,,,,,590,48,0.00,0.00,29400000,Informational,"Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Image, Video Carousel","0.30,0.24,0.24,0.24,0.24,0.20,0.76,0.67,1.00,0.76,0.24,0.76",20,,
au,sciatica pain pregnancy,sciatica,,,,,590,45,0.00,0.00,15400000,Informational,"Featured Snippet, Image, People Also Ask, Related Searches, Discussions And Forums, Image Pack, Video","0.66,0.44,1.00,1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.66,0.81",80,,
au,sciatica medication,sciatica,,,,,590,63,0.00,0.00,0,Informational,"Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview","1.00,0.76,0.76,0.67,0.67,0.45,0.24,0.20,0.16,0.10,0.13,0.10",75,,
au,sciatica self care,sciatica,,,,,590,69,0.90,0.76,12000000,Informational,"Image Pack, Video, Image, Video Carousel, Related Searches, AI Overview","1.00,1.00,0.67,0.67,0.24,0.20,0.08,0.45,0.08,0.20,0.03,0.01",90,,
au,sciatica stretching exercises,sciatica,,,,,590,46,0.36,0.12,15500000,Informational,"Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Discussions And Forums, AI Overview","0.59,0.39,0.48,0.21,0.59,0.32,1.00,0.72,0.59,0.72,0.59,0.88",20,,
au,how can i alleviate sciatica pain,sciatica,,,,,480,73,0.00,0.00,10000000,Informational,"Related Searches, Discussions And Forums, AI Overview, Video, Video Carousel, People Also Ask","0.00,0.00,0.00,0.00,0.00,0.72,1.00,0.88,0.88,1.00,1.00,1.00",90,,
au,how long will sciatica last,sciatica,,,,,480,31,0.11,0.03,25500000,Informational,"Related Searches, Site Links, Video, Featured Snippet, People Also Ask","0.81,0.54,0.44,1.00,0.81,0.81,0.19,0.36,0.81,0.66,0.66,0.81",20,,
au,how to cure sciatica permanently,sciatica,,,,,480,73,0.43,0.74,467000,Informational,"Video, Image, Related Searches, AI Overview, Site Links, Adwords Bottom, Video Carousel, People Also Ask, Discussions And Forums","0.36,0.30,0.36,0.24,0.30,0.24,0.24,0.24,0.24,0.24,0.30,0.30",20,,
au,how to treat sciatica pain,sciatica,,,,,480,73,0.34,0.51,25700000,Informational,"Related Searches, Discussions And Forums, AI Overview, Video, Image, Video Carousel","0.54,0.19,0.54,0.54,0.29,0.54,0.15,0.67,0.54,0.67,0.54,0.54",90,,
au,instant sciatica relief,sciatica,,,,,480,36,0.00,0.00,1820000,Informational,"Related Searches, Discussions And Forums, AI Overview, Video, Image, Video Carousel, People Also Ask","0.02,0.02,0.02,0.02,0.03,0.88,1.00,0.88,0.88,1.00,1.00,1.00",90,,
au,relieve sciatica,sciatica,,,,,480,64,0.00,0.00,27900000,Informational,"Video Carousel, Related Searches, See Results About, AI Overview, Image Pack, Site Links, Video, Image","0.76,0.76,0.00,0.76,0.67,0.67,0.76,0.01,0.01,0.00,0.00,0.00",20,,
au,sciatica massage,sciatica,,,,,480,13,1.20,0.90,18900000,Informational,"Image, Related Searches, Discussions And Forums, AI Overview, Local Pack, Site Links, Video, Video Carousel, People Also Ask, Image Pack","0.81,0.81,1.00,0.66,0.81,0.54,0.66,0.54,0.66,1.00,0.66,0.66",20,,
au,sciatica pain so bad can't walk,sciatica,,,,,480,56,0.00,0.00,1260000,Informational,"Image, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.45,0.45,0.45,0.36,0.36,0.30,0.36,0.36,0.30,0.20,0.08,0.08",20,,
au,sciatica treatment for,sciatica,,,,,480,39,0.53,0.61,27100000,Informational,"Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.81,0.81,0.81,0.81,0.81,0.66,0.81,0.81,0.81,0.81,0.81,0.66",20,,
au,stretching exercises for sciatica,sciatica,,,,,480,39,0.00,0.00,163,Informational,"Image, Video Carousel, Related Searches, AI Overview, Site Links, Video","0.02,0.00,0.52,0.01,0.02,0.01,0.02,0.02,0.46,0.52,0.52,0.52",20,,
au,sciatica pain stretches,sciatica,,,,,390,50,0.00,0.00,8690000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.55,0.55,0.62,0.62,0.62",90,,
au,massage and sciatica pain,sciatica,,,,,390,6,1.19,0.96,0,Informational,"Video, Image, Related Searches, Discussions And Forums, AI Overview","1.00,0.54,0.15,1.00,0.44,0.66,0.12,0.36,0.19,0.15,0.66,0.81",90,,
au,how do you treat sciatica,sciatica,,,,,390,70,0.35,0.46,19800000,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Video, Image, Video Carousel","0.54,0.54,0.36,0.36,0.44,0.54,0.44,0.66,1.00,0.81,0.66,0.81",90,,
au,exercises to alleviate sciatica,sciatica,,,,,320,66,0.30,0.19,10100000,Informational,"Image, Adwords Bottom, Video Carousel, People Also Ask, Related Searches, AI Overview, Video","0.66,0.54,0.43,0.81,0.66,0.54,0.29,0.54,1.00,0.81,0.81,0.81",90,,
au,exercise for sciatica,sciatica,,,,,320,40,0.00,0.00,30400000,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Video, Image, Video Carousel","0.39,0.32,0.39,0.39,0.39,0.32,0.39,0.32,0.32,0.26,0.26,0.26",90,,
au,stretches for the sciatica,sciatica,,,,,390,51,0.00,0.00,160,Informational,"Related Searches, AI Overview, Video, Image, Video Carousel","0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",90,,
au,exercises to ease sciatica,sciatica,,,,,320,51,0.30,0.19,3420000,Informational,"Related Searches, Discussions And Forums, AI Overview, Video, Image, Adwords Bottom, Video Carousel, People Also Ask","0.66,0.54,0.43,0.81,0.66,0.54,0.29,0.54,1.00,0.81,0.81,0.81",90,,
au,exercises to reduce sciatica,sciatica,,,,,320,26,0.30,0.19,15200000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview","0.66,0.54,0.43,0.81,0.66,0.54,0.29,0.54,1.00,0.81,0.81,0.81",90,,
au,exercises to relieve sciatica,sciatica,,,,,320,48,0.30,0.19,16100000,Informational,"Related Searches, Discussions And Forums, AI Overview, Video, Image, Video Carousel, People Also Ask","1.00,0.66,0.66,0.82,0.66,0.53,0.82,0.66,0.66,0.82,1.00,1.00",90,,
au,how long does sciatica last,sciatica,,,,,320,36,0.00,0.00,29800000,Informational,"AI Overview, Video, People Also Ask, Related Searches","1.00,0.81,1.00,0.81,0.54,0.43,0.43,0.66,0.81,0.81,0.66,0.66",90,,
au,how to fix sciatica,sciatica,,,,,320,64,0.00,0.00,28500000,Informational,"Image, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video","0.36,0.36,0.20,0.24,0.10,0.10,0.10,0.08,0.10,1.00,0.10,0.10",90,,
au,headache,headaches,,,,,8100,82,0.95,0.11,153,Informational,"Video, Related Searches, AI Overview, Image Pack","0.66,0.81,0.81,0.66,0.66,0.66,0.66,0.66,1.00,0.44,0.66,0.44",60,,
au,tension headache,headaches,,,,,8100,69,0.76,0.16,123000000,Informational,"Image, Video Carousel, Related Searches, AI Overview, Image Pack, Video","0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.66,0.66,0.44",75,,
au,cluster headaches and,headaches,,,,,6600,67,0.51,0.13,154,Informational,"Video, Image, Video Carousel, Related Searches, AI Overview","0.66,0.81,0.81,0.66,0.66,0.24,0.00,0.04,0.29,0.44,0.29,0.29",90,,
au,cluster headaches,headaches,,,,,5400,80,0.51,0.13,32800000,Informational,"Image, Related Searches, AI Overview, Image Pack, Video","0.54,0.66,1.00,0.81,0.81,0.81,0.81,0.81,0.66,0.66,0.66,0.54",75,,
au,headache and headache,headaches,,,,,5400,80,0.95,0.11,120000000,Informational,"Image Pack, Video, Related Searches, Discussions And Forums, AI Overview","0.19,0.29,0.66,0.66,0.81,0.44,0.00,0.07,1.00,0.54,0.54,0.36",90,,
au,cluster headache,headaches,,,,,4400,57,0.51,0.13,149,Informational,"Video, Image, Related Searches, AI Overview, Image Pack","0.19,0.19,0.16,0.19,0.16,0.16,0.08,0.19,0.16,0.10,0.13,0.13",75,,
au,headache behind eyes,headaches,,,,,4400,53,0.91,0.17,144,Informational,"Image Pack, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.54,0.54,0.66,0.66,0.54,0.54,0.66,0.66,0.66,0.54,0.66,0.54",90,,
au,headache rear of head,headaches,,,,,4400,67,0.86,0.14,119000000,Informational,"Image Pack, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.16,0.23,1.00,1.00,0.54,0.66,0.01,0.16,0.54,0.66,0.54,0.35",90,,
au,sinus headache,headaches,,,,,4400,52,0.43,0.13,213000000,Informational,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Image","0.44,0.44,0.44,0.66,0.66,0.44,0.66,0.66,0.66,0.44,0.44,0.35",75,,
au,cervicogenic headache,headaches,,,,,3600,56,0.00,0.00,864000,Informational,"AI Overview, Image Pack, Video, Image, Video Carousel, Related Searches, Discussions And Forums","0.80,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.80,0.66,0.66",75,,
au,headache and sinus,headaches,,,,,3600,52,0.43,0.13,59600000,Informational,"AI Overview, Video, Image, Video Carousel, Related Searches, Discussions And Forums","0.53,0.44,0.81,1.00,0.81,1.00,0.02,0.24,0.81,0.66,0.44,0.66",90,,
au,headache and types,headaches,,,,,3600,89,0.88,0.11,120000000,Informational,"Related Searches, AI Overview, Image Pack, Video, Image","0.66,0.28,0.24,1.00,0.66,0.81,0.01,0.19,0.66,0.81,0.66,0.43",90,,
au,medical migraine headache,headaches,,,,,3600,63,0.99,0.94,38200000,Informational,"Image, Video Carousel, Related Searches, AI Overview, Video","0.28,0.28,0.24,1.00,0.66,0.81,0.01,0.19,0.66,0.81,0.66,0.43",90,,
au,melatonin headaches side effects,headaches,,,,,3600,71,0.02,0.06,7150000,Informational,"Site Links, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.28,0.28,0.43,1.00,0.66,0.81,0.01,0.19,0.66,0.81,0.66,0.54",20,,
au,types of headaches,headaches,,,,,3600,84,0.00,0.00,151,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Image, Video Carousel","0.29,0.66,0.35,0.54,0.54,0.44,0.54,0.54,0.54,0.44,0.29,0.44",20,,
au,headache back of head,headaches,,,,,2900,65,0.86,0.14,118000000,Informational,"Image Pack, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.81,0.81,0.81,0.81,0.81,0.65,0.65,0.65,0.65,0.54,0.65,0.54",90,,
au,headache types,headaches,,,,,2400,83,0.84,0.21,150,Informational,"AI Overview, Image Pack, Site Links, Video, Image, Video Carousel, Related Searches","0.28,0.28,0.36,0.28,0.36,0.28,0.43,0.43,0.36,0.36,0.36,0.36",20,,
au,how to get rid of a headache,headaches,,,,,2400,62,0.64,0.23,142,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Image, Related Searches","0.28,0.28,0.36,0.36,0.36,0.43,0.43,0.43,0.24,0.36,0.28,0.28",20,,
au,migraine headache,headaches,,,,,1900,68,0.59,0.25,53500000,Informational,"Related Searches, Discussions And Forums, AI Overview, Image Pack, Video, Image, Video Carousel","0.16,1.00,0.16,0.19,0.19,0.16,0.12,0.12,0.16,0.12,0.10,0.10",75,,
au,migraine headache symptoms,headaches,,,,,1900,62,0.40,0.40,56700000,Informational,"Image Pack, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.28,0.54,0.28,0.43,0.54,1.00,0.05,0.05,0.05,0.04,0.07,0.04",90,,
au,headaches,headaches,,,,,1600,80,0.95,0.11,0,Informational,"Image, Related Searches, AI Overview, Image Pack, Video","0.29,0.10,0.24,0.29,0.18,0.29,0.35,0.29,0.53,0.53,0.29,0.35",60,,
au,how to rid of a headache,headaches,,,,,1600,45,0.93,0.23,106000000,Informational,"Site Links, Video, Featured Snippet, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.65,0.30,0.44,1.00,0.65,0.65,0.05,0.44,0.82,0.65,0.82,0.65",20,,
au,waking up with a headache,headaches,,,,,1600,38,0.28,0.16,108000000,Informational,"Image, People Also Ask, Related Searches, AI Overview, Image Pack, Video","0.44,0.36,0.44,0.52,0.44,0.44,0.44,0.52,0.44,0.44,0.44,0.36",90,,
au,kinds of headache,headaches,,,,,1600,84,0.88,0.11,110000000,Informational,"Image Pack, Featured Snippet, Image, Adwords Bottom, People Also Ask, Related Searches, Discussions And Forums, Video, Video Carousel","0.03,0.02,0.03,1.00,0.66,0.04,0.01,0.19,0.01,0.01,0.66,0.43",80,,
au,aura in migraine headaches,headaches,,,,,1300,0,0.27,0.04,1750000,Informational,"Video, Image, People Also Ask, Related Searches, AI Overview","0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.54,1.00,0.81,1.00,0.81",,,
au,cluster headache treatment,headaches treatment,,,,,1000,61,0.00,0.00,40300000,Informational,"Featured Snippet, Image, People Also Ask, Related Searches, Discussions And Forums, Image Pack, Video","0.52,0.52,0.37,0.68,0.84,0.84,0.68,0.68,0.37,0.68,0.31,0.31",80,,
au,sinus headache treatment,headaches treatment,,,,,590,46,0.00,0.00,178,Informational,"Video, Image, Related Searches, Discussions And Forums, AI Overview","0.02,0.08,0.13,1.00,0.67,0.67,0.76,0.55,0.45,0.36,0.30,0.30",90,,
au,tension headache treatment,headaches treatment,,,,,590,52,0.00,0.00,111000000,Informational,"Image Pack, Site Links, Video Carousel, People Also Ask, Discussions And Forums, Video, Image, Related Searches, AI Overview","1.00,0.16,0.20,0.25,0.25,0.16,0.25,0.37,0.37,0.31,0.16,0.16",20,,
au,tension type headache treatment,headaches treatment,,,,,590,43,0.00,0.00,75300000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Video","0.76,0.76,0.00,0.76,0.05,0.00,0.76,0.67,0.67,0.76,0.10,0.10",90,,
au,headache alternative treatment,headaches treatment,,,,,480,36,0.32,0.43,65200000,Informational,"Related Searches, AI Overview, Site Links, Image, People Also Ask","0.72,0.39,0.32,0.72,0.59,1.00,0.17,0.39,0.59,0.48,0.48,0.32",20,,
au,headache treatment,headaches treatment,,,,,480,61,0.00,0.00,0,Informational,"AI Overview, Image Pack, Site Links, Video, Image, Related Searches","0.44,0.29,0.44,0.54,0.44,0.29,0.81,1.00,1.00,0.81,0.67,0.44",20,,
au,cervicogenic headache treatment,headaches treatment,,,,,390,28,0.00,0.00,820000,Informational,"Discussions And Forums, AI Overview, Image Pack, Video, Image, Video Carousel, People Also Ask, Related Searches","0.44,0.54,0.54,0.54,0.54,0.36,0.66,1.00,0.81,0.54,0.66,0.54",90,,
au,cluster headaches treatments,headaches treatment,,,,,390,64,0.00,0.00,0,Informational,"Image, Related Searches, Discussions And Forums, AI Overview, Image Pack, Site Links, Video","0.44,0.54,0.44,0.29,0.29,0.44,0.67,0.67,0.36,0.29,0.29,0.23",20,,
au,over the counter treatment for migraine headaches,headaches treatment,,,,,390,47,1.00,0.97,0,Informational,"Site Links, Video, Image, Related Searches, Discussions And Forums, AI Overview","0.15,0.15,0.15,0.29,0.23,0.19,0.29,1.00,1.00,1.00,0.81,0.67",20,,
au,tension headache treatments,headaches treatment,,,,,390,50,0.00,0.00,52500000,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.45,0.36,0.36,0.36,0.30,0.03,0.45,0.45,0.20,0.16,0.05,0.05",90,,
au,sinusitis headaches treatment,headaches treatment,,,,,320,56,0.94,0.41,13100000,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Video, Image","1.00,0.54,0.43,0.81,0.81,0.54,0.18,0.66,0.66,0.66,0.43,0.43",90,,
au,treatment for migraines headaches,headaches treatment,,,,,320,80,1.02,0.56,17300000,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview","0.05,0.08,0.00,0.00,0.00,1.00,0.01,0.05,0.13,0.10,0.05,0.13",90,,
au,headache treatments,headaches treatment,,,,,210,77,0.00,0.00,115000000,Informational,"Discussions And Forums, AI Overview, Image Pack, Site Links, Video, Image, People Also Ask, Related Searches","0.66,0.53,0.53,0.35,0.53,0.43,1.00,0.53,0.53,0.35,0.12,0.17",20,,
au,migraine headache treatment,headaches treatment,,,,,260,63,0.00,0.00,0,Informational,"Video, Image, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Image Pack","0.01,0.15,0.09,0.19,0.15,0.06,0.66,0.66,1.00,0.44,0.09,0.54",90,,
au,cervicogenic headache treatment at home,headaches treatment,,,,,140,9,0.00,0.00,0,Informational,"AI Overview, Image Pack, Video, Image, Related Searches, Discussions And Forums","0.80,0.80,0.80,1.00,0.80,0.66,0.66,0.52,0.52,0.42,0.42,0.42",90,,
au,chiropractic headache treatment,headaches treatment,,,,,140,6,0.00,0.00,3440000,"Informational, Commercial","People Also Ask, Related Searches, Discussions And Forums, AI Overview, Video, Image, Video Carousel","0.34,0.28,0.34,0.34,0.28,0.28,0.65,0.65,0.81,0.53,1.00,0.81",90,,
